int	string	string	string	string
提示ID	key	所属模块	提示名称	提示内容-中文
id	key	module	name	zh_cn_notice
1000	Msg_test	测试	测试	test
1001	account_name_long	账号信息	名称长度不对	名称规定长度为【4-18】
1002	account_name_num	账号信息	名称为纯数字	名称不能为纯数字
1003	account_name_space	账号信息	名称开头和结尾有空格	名称开头和结尾不能有空格
1004	account_name_repeat	账号信息	名称与原名相同	名称与原名相同
1005	account_name_blockword	账号信息	名称中有屏蔽词	名称中有非法字符
1006	account_name_repeatothers	账号信息	名称与其他玩家重名	该名称已被使用
1007	account_name_ok	账号信息	公司重命名成功	您的公司已更名为
1008	account_name_often	账号信息	频繁修改个性签名提示	个性签名每分钟只能修改一次
1009	produce_one-click	生产	一键生产	一共增加了X个生产队列
1010	produce_warehouse_max	生产	一键领取达仓库上限	仓库已满，请提升仓库容量
1011	produce_recvip_less	生产	VIP等级不够	需要升到VIP3才能使用一键领取功能
1012	produce_item_less	生产	没有足够的道具	没有可以领取的道具，请先进行生产
1013	produce_paper_less	生产	没有足够的图纸	生产图纸不足
1014	produce_item_max	生产	生产线累计奖励到达上限	请先领取累计奖励
1015	produce_line_max	生产	生产线队列到达上限	该生产线队列已达上限，请提升生产线等级
1016	produce_pre_unlock	生产	前置生产线未解锁	需解锁前一生产线
1017	produce_diamond_less	生产	钻石不足	钻石不足
1018	produce_gold_less	生产	金币不足	金币不足
1019	produce_provip_less	生产	VIP等级不够	需要升到VIP5才能使用一键生产功能
1020	produce_lines_max	生产	所有生产线队列到达上限	所有生产线队列已达上限，请提升生产线等级
1021	non_midia_visit	拍摄	未开启媒体访问提示	商务部3级开启
1022	non_suitable_actor	拍摄	没有符合条件的艺人	此角色需要
1023	non_enough_actor	拍摄	没有足够数量的艺人	此角色需要艺人扮演
1024	actor_recruit	拍摄	艺人招募提示	可在“星探”招募更多艺人
1025	ranking_list_reset	拍摄	比赛排行重置提示	颁奖后重新分组并重置排名
1026	movie_stop_tips	拍摄	提前下映提示	提前结束只能领取剩余时间[color=#FF0000]{0}[/color]收益，您确定要提前结束吗？
1027	ranking_list_tips1	排行	排行榜滚动文字1	好电影不一定大卖，烂电影基本都扑街
1028	ranking_list_tips2	排行	排行榜滚动文字2	好的市场，如果遇到好电影，票房将难以想象
1029	movie_ranking_list_hidden	排行	票房排行隐藏显示提示	更多影片信息已隐藏
1030	block_upgrade_msg	街区	街区升档提示	提升到{0}{1}档需要：
1031	trophy_tips	街区	奖杯获取提示	每天22点傲视卡可获得奖杯
1032	trophy_tips2	街区	奖杯获取补充提示	(每天比赛排名越高，票房大卖电影越多，奖杯就越多)
1033	finished_block	街区	完成街区提示	您已经完成本档次的比赛，并获得下列奖励
1034	cinema_sign	院线	院线签约	恭喜您签约{0}({1})，您可上映的院线数量增加至{2}家
1035	ranking_list_instruction1	排行榜	奖励说明1	每周一到周六，根据排名奖励钻石、羽毛笔、喇叭
1036	ranking_list_instruction2	排行榜	奖励说明2	(前三名更有机会获得稀有5星艺人哈雷介绍信礼包)
1037	ranking_list_instruction3	排行榜	奖励说明3	周日，根据排名奖励大量钻石和羽毛笔；第一名还拥有本服冠名权
1038	change_server_name	排行榜	修改服务器名称	请输入一个个性化的名称吧，每周只可修改一次哦！
1039	choose_cinema	影城签约	未选择签约影城	请选择一个影城进行签约
1040	movie_get_tips	拍摄	领取收益提示	最多只能有{0}部持续收益的电影，我们处理一下已经收益完毕的电影吧
1041	movie_licence_tips	拍摄	许可证回复提示	今天的许可证已发放完毕，{0}后将会继续发放
1042	movie_shoot_great	拍摄	剧本和拍摄类型契合度优	天作之合
1043	movie_shoot_good	拍摄	剧本和拍摄类型契合度良	观众应该会喜欢吧
1044	movie_shoot_normal	拍摄	剧本和拍摄类型契合度中	应该还有更好的选择
1045	movie_shoot_bad	拍摄	剧本和拍摄类型契合度差	完全不适合该剧本，会造成负面影响
1050	movie_too_much	拍摄	玩家拍摄次数过多	拍了太多相似的电影了
1051	movie_critical1	拍摄	市场风向暴击1	演员太疲劳，影响了电影质量
1052	movie_critical2	拍摄	市场风向暴击2	最近市场上的同类电影似乎有点多
1053	movie_critical3	拍摄	市场风向暴击3	好像赶上了市场的潮流
1054	movie_critical4	拍摄	市场风向暴击4	突然间就火爆了起来
1055	movie_target_fail	拍摄	剧本目标未达成	拍摄目标没达成，无法获得影业协会颁发的奖励
2022	order_fail	订单	订单完成失败	需要装箱才能运输哦，点击一下箱子装箱吧
2023	order_complete	订单	查看未解锁的订单完成度	完成X次订单可打开
2024	order_received	订单	已领取的奖励提示	已领取过奖励
2025	order_npc_default	订单	npc默认提示	所有订单都有时间限制的/n所以收到订单要赶快完成哦
2026	business_countdown	公务	公务倒计时	新公务将在X秒后出现
2027	business_secretary	公务	自动批阅没有秘书	你还未拥有终身秘书，无法自动批阅
2028	business_down	公务	全部公务批阅完毕	今天所有公务已批阅完毕
2029	visit_countdown	探班	探班倒计时	一大波粉丝将在X秒后抵达
2030	visit_secretary	探班	自动接待没有秘书	你还未拥有终身秘书，无法自动接待
2031	visit_point	探班	探班操作提示	在楼层中找到指定艺人，点击艺人提醒有粉丝来访
2032	market_envoy_wrong1	市场	艺人国籍不对	我的国家不符合要求，无法担此重任
2033	market_envoy_wrong2	市场	艺人类型不对	我的类型不符合要求，无法担此重任
2034	market_envoy_wrong3	市场	艺人年龄不对	我的年龄不符合要求，无法担此重任
2035	market_envoy_wrong4	市场	艺人数值不达标	我的能力没达到要求，无法担此重任
